"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"W4_2",665,"Water","Dethiobacteria",0.863636363636364
"W4_3",655,"Water","Dethiobacteria",0.850649350649351
"W5_1",648,"Water","Dethiobacteria",0.841558441558442
"W5_2",1535,"Water","Dethiobacteria",1.99350649350649
"W5_3",753,"Water","Dethiobacteria",0.977922077922078
"t0_1",1145,"Other","Dethiobacteria",1.48701298701299
"t0_2",1314,"Other","Dethiobacteria",1.70649350649351
"t0_3",1298,"Other","Dethiobacteria",1.68571428571429
"G1L",246,"Glass","Ignavibacteria",0.319480519480519
"G1_1",1678,"Glass","Ignavibacteria",2.17922077922078
"G1_2",1873,"Glass","Ignavibacteria",2.43246753246753
"G1_3",1743,"Glass","Ignavibacteria",2.26363636363636
"G2_1",1517,"Glass","Ignavibacteria",1.97012987012987
"G2_2",1344,"Glass","Ignavibacteria",1.74545454545455
"G2_3",1096,"Glass","Ignavibacteria",1.42337662337662
"G3_1",476,"Glass","Ignavibacteria",0.618181818181818
"G3_2",531,"Glass","Ignavibacteria",0.68961038961039
"G3_3",427,"Glass","Ignavibacteria",0.554545454545455
"G4_1",240,"Glass","Ignavibacteria",0.311688311688312
"G4_2",193,"Glass","Ignavibacteria",0.250649350649351
"G4_3",773,"Glass","Ignavibacteria",1.0038961038961
"G5_1",133,"Glass","Ignavibacteria",0.172727272727273
"G5_2",197,"Glass","Ignavibacteria",0.255844155844156
"G5_3",244,"Glass","Ignavibacteria",0.316883116883117
"TAn1L",56,"Rock Anoxic","Ignavibacteria",0.0727272727272727
"TAn1_1",470,"Rock Anoxic","Ignavibacteria",0.61038961038961
"TAn1_2",399,"Rock Anoxic","Ignavibacteria",0.518181818181818
"TAn1_3",749,"Rock Anoxic","Ignavibacteria",0.972727272727273
"TAn2_1",840,"Rock Anoxic","Ignavibacteria",1.09090909090909
"TAn2_2",858,"Rock Anoxic","Ignavibacteria",1.11428571428571
